PID    | Hora Atual
051408 | 19:44:55.824
051408 | 19:44:55.824
051408 | 19:44:55.825
763717 | 19:44:55.825
051408 | 19:44:55.825
763717 | 19:44:55.826
272565 | 19:44:55.826
659358 | 19:44:55.826
898647 | 19:44:55.827
176375 | 19:44:55.827
126185 | 19:44:55.828
119100 | 19:44:55.828
051408 | 19:44:55.828
559124 | 19:44:55.829
545407 | 19:44:55.829
273787 | 19:44:55.829
967088 | 19:44:55.830
461699 | 19:44:55.830
763717 | 19:44:55.830
272565 | 19:44:55.830
975934 | 19:44:55.831
938736 | 19:44:55.831
253856 | 19:44:55.831
000306 | 19:44:55.831
335302 | 19:44:55.832
022011 | 19:44:55.832
374069 | 19:44:55.832
659358 | 19:44:55.833
377175 | 19:44:55.833
332730 | 19:44:55.833
663246 | 19:44:55.834
748237 | 19:44:55.834
734914 | 19:44:55.835
464397 | 19:44:55.835
862079 | 19:44:55.835
191094 | 19:44:55.835
898647 | 19:44:55.836
332596 | 19:44:55.836
831962 | 19:44:55.836
955261 | 19:44:55.837
476219 | 19:44:55.837
588041 | 19:44:55.837
805415 | 19:44:55.837
994075 | 19:44:55.838
708920 | 19:44:55.838
176375 | 19:44:55.838
769091 | 19:44:55.838
641233 | 19:44:55.838
724301 | 19:44:55.839
663181 | 19:44:55.839
063070 | 19:44:55.839
513897 | 19:44:55.840
323631 | 19:44:55.840
126185 | 19:44:55.840
069885 | 19:44:55.840
738053 | 19:44:55.841
118339 | 19:44:55.841
339940 | 19:44:55.841
119100 | 19:44:55.841
051408 | 19:44:55.842
232302 | 19:44:55.842
352693 | 19:44:55.842
670214 | 19:44:55.842
981601 | 19:44:55.843
559124 | 19:44:55.843
545407 | 19:44:55.843
491364 | 19:44:55.844
844127 | 19:44:55.844
318997 | 19:44:55.844
273787 | 19:44:55.844
791414 | 19:44:55.845
935645 | 19:44:55.845
920574 | 19:44:55.845
967088 | 19:44:55.845
887736 | 19:44:55.846
461699 | 19:44:55.846
473090 | 19:44:55.846
918152 | 19:44:55.846
410348 | 19:44:55.846
803601 | 19:44:55.847
228664 | 19:44:55.847
763717 | 19:44:55.847
272565 | 19:44:55.848
659583 | 19:44:55.848
725692 | 19:44:55.848
889704 | 19:44:55.848
975934 | 19:44:55.848
938736 | 19:44:55.849
695731 | 19:44:55.849
080963 | 19:44:55.849
752861 | 19:44:55.849
505359 | 19:44:55.850
297374 | 19:44:55.850
253856 | 19:44:55.850
823095 | 19:44:55.850
669415 | 19:44:55.851
000306 | 19:44:55.851
764344 | 19:44:55.851
779593 | 19:44:55.851
335302 | 19:44:55.852
188950 | 19:44:55.852
454963 | 19:44:55.852
294691 | 19:44:55.852
742154 | 19:44:55.853
022011 | 19:44:55.853
374069 | 19:44:55.853
803785 | 19:44:55.853
684174 | 19:44:55.854
975244 | 19:44:55.854
167416 | 19:44:55.854
340220 | 19:44:55.854
659358 | 19:44:55.855
825543 | 19:44:55.855
377175 | 19:44:55.855
492394 | 19:44:55.855
885265 | 19:44:55.855
481497 | 19:44:55.856
434602 | 19:44:55.856
332730 | 19:44:55.856
168077 | 19:44:55.857
147525 | 19:44:55.857
651368 | 19:44:55.857
269631 | 19:44:55.857
663246 | 19:44:55.858
748237 | 19:44:55.858
942501 | 19:44:55.858
023522 | 19:44:55.858
150784 | 19:44:55.859
692873 | 19:44:55.859
734914 | 19:44:55.859
076381 | 19:44:55.859
464397 | 19:44:55.860
180846 | 19:44:55.860
232044 | 19:44:55.860
482944 | 19:44:55.860
862079 | 19:44:55.861
191094 | 19:44:55.861
621821 | 19:44:55.861
964889 | 19:44:55.861
275852 | 19:44:55.862
081434 | 19:44:55.862
789086 | 19:44:55.862
898647 | 19:44:55.862
958091 | 19:44:55.862
056164 | 19:44:55.863
332596 | 19:44:55.863
221803 | 19:44:55.863
804399 | 19:44:55.863
831962 | 19:44:55.864
136733 | 19:44:55.864
843494 | 19:44:55.864
769932 | 19:44:55.864
085037 | 19:44:55.865
482721 | 19:44:55.865
955261 | 19:44:55.865
476219 | 19:44:55.865
404753 | 19:44:55.866
235944 | 19:44:55.866
952882 | 19:44:55.866
598654 | 19:44:55.866
588041 | 19:44:55.866
474379 | 19:44:55.866
805415 | 19:44:55.866
215817 | 19:44:55.866
953426 | 19:44:55.867
268303 | 19:44:55.867
667416 | 19:44:55.867
994075 | 19:44:55.867
685803 | 19:44:55.867
236275 | 19:44:55.868
579896 | 19:44:55.868
023192 | 19:44:55.868
708920 | 19:44:55.868
176375 | 19:44:55.869
769091 | 19:44:55.869
641233 | 19:44:55.869
724301 | 19:44:55.870
663181 | 19:44:55.870
063070 | 19:44:55.870
513897 | 19:44:55.871
323631 | 19:44:55.871
126185 | 19:44:55.871
069885 | 19:44:55.871
738053 | 19:44:55.872
118339 | 19:44:55.872
339940 | 19:44:55.872
119100 | 19:44:55.872
051408 | 19:44:55.872
232302 | 19:44:55.873
352693 | 19:44:55.873
670214 | 19:44:55.873
981601 | 19:44:55.873
559124 | 19:44:55.874
545407 | 19:44:55.874
491364 | 19:44:55.874
844127 | 19:44:55.874
318997 | 19:44:55.875
273787 | 19:44:55.875
791414 | 19:44:55.875
935645 | 19:44:55.875
920574 | 19:44:55.876
967088 | 19:44:55.876
887736 | 19:44:55.876
461699 | 19:44:55.876
473090 | 19:44:55.877
918152 | 19:44:55.877
410348 | 19:44:55.877
803601 | 19:44:55.877
228664 | 19:44:55.878
763717 | 19:44:55.878
272565 | 19:44:55.878
659583 | 19:44:55.878
725692 | 19:44:55.879
889704 | 19:44:55.879
975934 | 19:44:55.879
938736 | 19:44:55.879
695731 | 19:44:55.880
080963 | 19:44:55.880
752861 | 19:44:55.880
505359 | 19:44:55.880
297374 | 19:44:55.881
253856 | 19:44:55.881
823095 | 19:44:55.881
669415 | 19:44:55.881
000306 | 19:44:55.882
764344 | 19:44:55.882
779593 | 19:44:55.882
335302 | 19:44:55.882
188950 | 19:44:55.883
